1,ABRANTES - DE MELO,"Visitando - Ouro Preto, Mariana e Congonhas",25,47,2,6
2,"ABULAFIA, David (Editor)",The Mediterranean in History,12,44,2,6
3,"ACKERMAN, Lowell",German Shepherds,17,20,2,4
4,"ADAMI, SIMONI",Turandot - Puccini Opera Libretto,16,41,2,9
5,"ADAMS, Henry",Italy at War,12,54,2,6
6,"ADAMS, Henry",Mont-Saint-Michel and Chartres,12,22,2,6
7,"ADAMS, Scott",Seven Years of Highly Defective People,13,11,2,6
8,"ADAMS, Scott",The Dilbert Principle,13,11,2,6
9,"ADAMS, Scott",The Joy of Work,13,11,2,6
10,"ADINOLFI, Marco",Saint Paul in Damascus,23,14,2,8
11,"ADKINS, Pam",The Heart of California,25,3,2,6
12,"ADLER, Mortimer (Editor)",The Great Ideas - A Syntopicon of the Great Books of the Western World -I-,6,44,2,1
13,"ADLER, Mortimer (Editor)",The Great Ideas - A Syntopicon of the Great Books of the Western World -II-,6,44,2,1
14,AESCHYLUS,The Plyas of Aeschylus,14,5,2,1
15,"AGNONE, John G./LESCAZE, Rebecca (Editors)",Eyewitness to the 20th Century,12,37,2,6
16,"AHMAD, Abdul Hamid (Editor)",Abu Dhabi - From the Sky,25,35,2,9
17,"ALBEDIL, Margarita",Saint Petersburg,25,46,2,6
18,ALCIDES/DE TOLEDO/HUNTER/ MARTIN/McNEILLIE/XAVIER,Portuguese-English/Ingles-Portugues (Larousse),22,19,2,2
19,"ALEXANDER, Caroline",The Endurance - Shackeleton's Legendary Antarctic Expedition,12,6,2,6
20,"AL-FAHIM, Mohammed",From Rags to Riches - A History of Abu Dhabi,12,35,2,6
21,"ALGRANT, Christine Pevitt",Madame de Pompadour - Mistress of France,12,22,2,6
22,"ALLEN, Armin",The Elms: 1901 - 2001,25,3,2,8
23,"ALLEN, Charles/DWIVEDI, Sharada",Lives of the Indian Princes,12,7,2,6
24,"ALLEN, Connie/HARPER, Valerie",Cat Dissection - A Laboratory Guide,24,49,2,8
25,"ALLEN, E. L.",Guidebook to Western Thought,18,27,2,6
26,"ALLEN, Lawrence J.",The Alaska Pipeline Volume I - The Beginning,12,3,2,6
27,"ALLEN, Lawrence J.",The Alaska Pipeline Volume II - South to Valdez,12,3,2,6
28,"ALLEN, Warren Dwight",Philosophies of Music History,16,27,2,9
29,"ALLEN, Woody",Without Feathers,13,3,2,2
30,ALP Company,Brilliant Kamikochi of the Japan Alps,25,7,2,6
31,"AL-SHAIKH, Hanan",Women of Sand and Myrrh,8,35,2,6
32,"ALSOP, Joseph",FDR - A Centenary Remembrance,12,3,2,6
33,"ALTNER, Helmut",Berlin Dance of Death,12,54,2,6
34,ALVAREZ/ELIAS/FENANDEZ,The Mosque - Cordoba,25,22,2,8
35,"AMBROSE, Stephen",D - Day,12,54,2,6
36,"AMBROSE, Stephen",Nothing Like it in the World - The Men who Built the Transcontinental Railroad,12,3,2,6
37,"AMBROSE, Stephen","Undaunted Courage - Meriwether Lewis, Thomas Jefferson, and the Opening of the American West",12,3,2,6
38,AMERICAN CONCRETE INSTITUTE,Building Code Requirements for Reinforced Concrete (ACI 318-83),7,15,2,7
39,AMERICAN CONCRETE INSTITUTE,Manual of Concrete Inspection,7,15,2,7
40,American Heritage ,A Sense of History,12,44,2,6
41,AMERICAN HOSPITAL ASSOCIATION,Hospital Engineering Handbook,7,15,2,3
42,AMERICAN INSTITUTE OF STEEL CONSTRUCTION,Manual of Steel Construction - 1967 Edition,7,15,2,3
43,AMERICAN INSTITUTE OF STEEL CONSTRUCTION,Manual of Steel Construction - 1980 Edition,7,15,2,7
44,AMERICAN KENNEL CLUB,The Complete Dog Book,17,20,2,6
45,AMERICAN SOCIETY OF CIVIL ENGINEERS,Dredging '94 - Vol. 1,7,15,2,7
46,AMERICAN SOCIETY OF CIVIL ENGINEERS,Dredging '94 - Vol. 2,7,15,2,7
47,AMERICAN SOCIETY OF CIVIL ENGINEERS,Ports '95 - Vol. 1,7,15,2,7
48,AMERICAN SOCIETY OF CIVIL ENGINEERS,Ports '95 - Vol. 2,7,15,2,7
49,AMERICAN SOCIETY OF CIVIL ENGINEERS,Ports '98 - Vol. 1,7,15,2,7
50,AMERICAN SOCIETY OF CIVIL ENGINEERS,Ports '98 - Vol. 2,7,15,2,7
51,AMERICAN WATER WORKS ASSOCIATION,PVC Pipe - Design and installation,7,15,2,7
52,AMERICAN WATER WORKS ASSOCIATION,Steel Pipe - A guide for design and installation,7,15,2,7
53,"AMERONGEN, C. Van",The Way Things Work,24,44,2,6
54,AMIN/EAMES (Editors),Kenya,25,1,2,6
55,"AMMOUS, Seifedean",The Bitcoin Standard - The Decentralized Alternative to Central Banking,15,23,2,6
56,"AMUNDSEN, Roald",The South Pole,12,6,2,6
57,"ANDERSEN, Hans Christian",Fairy Tales (1945 Illustrated Edition),14,22,2,8
58,"ANDERSON, Fred",The War that Made America - A Short History of the French and Indian War,12,3,2,6
59,"ANDERSON, James",Cannibal - A Photographic Audacity,6,7,2,6
60,"ANDERSON, Janice",Venice,25,22,2,6
61,"ANDERSON, Scott","Lawrence of Arabia - War, Deceit, Imperial Folly and the Making of the Modern Middle East",12,35,2,6
62,"ANDRESSON, Markus Thor (Editor)",Points of View - A Journey through the Visual World of Iceland,2,22,2,6
63,ANG/TANG,Probability Concepts in Engineering Planning and Design,7,33,2,7
64,"ANISIMOV, Yevgeny",The House of Romanov,12,46,2,6
65,"ANOUILL, Jean",Le Voyageur sans Bagages - Le Bal des Voleurs,8,22,3,6
66,"ANSARI, Tamim",Destiny Disrupted - A History of the World Through Islamic Eyes,12,35,2,6
67,"ANTONELLO, Jean",How to Become Naturally Thin by Eating More,9,25,2,4
68,APOLLONIUS of PERGA,On Conic Sections,24,43,2,1
69,APPIAH/GATES,Dictionary of Global Culture,6,19,2,6
70,APPLIED TECHNOLOGY COUNCIL,Procedures for Post-Earthquake Safety Evaluation of Buildings,7,17,2,7
71,APWA & AGC,Standard Plans for Public Works Construction,7,15,2,3
72,APWA & AGC,Standard Specifications for Public Works Construction,7,15,2,3
73,"AQUINAS, Thomas",The Summa Theologica I,23,14,2,1
74,"AQUINAS, Thomas",The Summa Theologica II,23,14,2,1
75,"ARCHER, Michael",Mona Hatoum,2,22,2,6
76,ARCHIMEDES,The Method and Other Works,24,5,2,1
77,"ARENDT, Hannah",Eichmann in Jerusalem - A Report on the Banality of Evil,12,54,2,6
78,"ARGUEDAS, Jose Miguel Helfer",Discovering Machu Picchu,12,47,2,6
79,"ARIMA, Raitel",Kinkakuji-Cho - The Golden Pavilion,25,7,2,6
80,ARISTOPHANES,The Plays of Aristophanes,14,5,2,1
81,ARISTOTLE ,Biological Treatises - Nicomachean Ethics - Politics - The Athenian Constitution - Rhetoric - On Poetics,18,5,2,1
82,ARISTOTLE ,Logic - Physical Treatise - Metaphysics - On the Soul - Short Physical Treatises,18,5,2,1
83,ARISTOTLE ,The Nicomachean Ethics,18,5,2,6
84,"ARKY, Ronald (Medical Consultant)",Physicians Desk Reference - 2002,22,25,2,8
85,"ARNOLD, WADE",New England's Best-Loved Driving Tours,25,3,2,6
86,"ARONSON, Susan/Technical Advisor",American Red Cross Community CPR,24,48,2,8
87,ART PUBLISHERS,Young Wildlife - South Africa,19,1,2,6
88,ARTHUS-BERTRAND/Yann,Earth from Above,19,44,2,6
89,ARTHUS-BERTRAND/Yann & Anne,Paris Vu du Ciel,19,22,3,6
90,"ASBRIDGE, Thomas",The Crusades - The Auhtoritative History of the War for the Holy Land,12,35,2,6
91,"ASBURY, Herbert",The Barbary Coast - An Informal History of the San Francisco Underworld ,12,3,2,6
92,ASPHALT INSTITUTE,The Asphalt Handbook,7,15,2,3
93,"ASTER, Sydney",1939 - The Making of the Second World War,12,54,2,6
94,"ASTILLERO, Steven",Lighthouses of Oregon,19,3,2,6
95,"ASTRAKHANTSEVA, T./ KALASHNIKOV, V.","Sergiev Posad - Trinity, St. Sergius Monastery",25,46,2,8
96,"ASTRAKHANTSEVA, T./ KALASHNIKOV, V.",The Golden Ring,25,46,2,6
97,ATKINS/DUVAL/LEWIS/MILNE,French Dictionary,22,19,2,6
98,"ATTINI, Antonio",Morocco - Flying High,19,1,2,6
99,AUGUSTINE,The Confessions - The City of God - On Christian Doctrine,23,14,2,1
100,"AUSTIN, William W.",Music In The 20th Century,16,44,2,6
101,AUTOMOBILE ASSOCIATION,Treasures of Britain,25,22,2,6
102,AVENEL BOOKS,The Opera Libretto Library,16,41,2,6
103,"AVERBUCK, Alexis/McCarty, Carolyn",Antarctica - Lonely Planet,25,6,2,6
104,"AVERY, Craig (Editor)",Concrete Construction and Estimating,7,15,2,7
105,"AXELROD, Alan",Chronicle of the Indian Wars,12,51,2,6
106,"AYERS, Frank Jr.",Advanced Differential Equations,7,33,2,7
107,"AYME, Marcel",La Jument Verte,8,22,3,6
108,BABKO/ZAMAKHAYEV,Highway Engineering,7,15,2,7
109,"BACH, Richard",Illusions,8,3,2,6
110,BACHARACH & PEARCE,The Musical Companion,16,44,2,9
111,"BACON, Edward (Editor)",Vanished Civilizations of the Ancient World,12,5,2,6
112,"BACON, Francis",Advancement of Learning - Novum Organum - New Atlantis,24,22,2,1
113,"BAIBAKOV, Dimitry",The Cathedral of the Blood - In Honour of All the Saints Radiating in the Land of Russia (Site of Execution of Tsar Nicholas II and Family) ,25,46,2,8
114,"BAILEY, Colin",Renoir's Portraits - Impressions of an Age,2,22,2,6
115,"BAILEY, Ronald",Partisans and Guerillas,12,54,2,6
116,"BAILEY, Ronald",Prisoners of War,12,54,2,6
117,"BAILEY, Ronald",The Air War in Europe,12,54,2,6
118,"BAILEY, Ronald",The Home Front: USA,12,54,2,6
119,BAILEY/KEENE-YOUNG,Wild Kruger - A Visual Celebration of Africa's Premier National Park,25,1,2,6
120,"BAILYN, Bernard","The Barbarous Years - The Peopling of British North America: The Conflict of Civilizations, 1600 - 1675",12,3,2,6
121,"BAIN, Carolyn/AVERBUCK, Alexis",Iceland - Lonely Planet,25,22,2,6
122,"BAINBRIDGE, John",Garbo,4,8,2,6
123,"BALL, Edward",Slaves in the Family,6,2,2,6
124,"BALL, Liz",Yard & Garden Basics - Step-by-Step,1,30,2,4
125,"BALLARD, Bonnie/CHEEK, Ryan",Exotic Animal Medicine for the Veterniary Technician,24,49,2,8
126,"BALZAC, Honore De",Le Pere Goriot,8,22,3,6
127,BARNAO/ISRAEL,Australia's Sydney - A Celebration,25,40,2,6
128,"BARNES, Rachel (Editor)",Degas,2,22,2,6
129,"BARNES, Rachel (Editor)",Gauguin,2,22,2,6
130,BARNES/DWORKIN/RICHARDS,Law for Business,22,32,2,2
